Plot Title: CCP,,
#,"Date Time, GMT-05:00",Temp. °F (LGR S/N: 20462604. SEN S/N: 20462604)
3183,2/3/2019 17:00,60
3184,2/3/2019 17:30,60
3185,2/3/2019 18:00,60
3186,2/3/2019 18:30,60
3187,2/3/2019 19:00,59
3188,2/3/2019 19:30,59
3189,2/3/2019 20:00,59
3190,2/3/2019 20:30,59
3191,2/3/2019 21:00,59
3192,2/3/2019 21:30,59
3193,2/3/2019 22:00,58
3194,2/3/2019 22:30,58
3195,2/3/2019 23:00,58
3196,2/3/2019 23:30,58
3197,3/3/2019 0:00,58
3198,3/3/2019 0:30,58
3199,3/3/2019 1:00,58
3200,3/3/2019 1:30,58
3201,3/3/2019 2:00,58
3202,3/3/2019 2:30,58
3203,3/3/2019 3:00,58
3204,3/3/2019 3:30,58
3205,3/3/2019 4:00,58
3206,3/3/2019 4:30,57
3207,3/3/2019 5:00,57
3208,3/3/2019 5:30,57
3209,3/3/2019 6:00,57
3210,3/3/2019 6:30,57
3211,3/3/2019 7:00,57
3212,3/3/2019 7:30,57
3213,3/3/2019 8:00,57
3214,3/3/2019 8:30,57
3215,3/3/2019 9:00,57
3216,3/3/2019 9:30,57
3217,3/3/2019 10:00,58
3218,3/3/2019 10:30,58
3219,3/3/2019 11:00,58
3220,3/3/2019 11:30,58
3221,3/3/2019 12:00,58
3222,3/3/2019 12:30,58
3223,3/3/2019 13:00,58
3224,3/3/2019 13:30,58
3225,3/3/2019 14:00,58
3226,3/3/2019 14:30,59
3227,3/3/2019 15:00,60
3228,3/3/2019 15:30,60
3229,3/3/2019 16:00,60
3230,3/3/2019 16:30,60
3231,3/3/2019 17:00,59
3232,3/3/2019 17:30,58
3233,3/3/2019 18:00,58
3234,3/3/2019 18:30,58
3235,3/3/2019 19:00,58
3236,3/3/2019 19:30,57
3237,3/3/2019 20:00,57
3238,3/3/2019 20:30,57
3239,3/3/2019 21:00,57
3240,3/3/2019 21:30,57
3241,3/3/2019 22:00,56
3242,3/3/2019 22:30,56
3243,3/3/2019 23:00,57
3244,3/3/2019 23:30,56
3245,4/3/2019 0:00,56
3246,4/3/2019 0:30,56
3247,4/3/2019 1:00,56
3248,4/3/2019 1:30,55
3249,4/3/2019 2:00,55
3250,4/3/2019 2:30,55
3251,4/3/2019 3:00,55
3252,4/3/2019 3:30,55
3253,4/3/2019 4:00,55
3254,4/3/2019 4:30,55
3255,4/3/2019 5:00,55
3256,4/3/2019 5:30,55
3257,4/3/2019 6:00,55
3258,4/3/2019 6:30,55
3259,4/3/2019 7:00,55
3260,4/3/2019 7:30,55
3261,4/3/2019 8:00,55
3262,4/3/2019 8:30,55
3263,4/3/2019 9:00,55
3264,4/3/2019 9:30,56
3265,4/3/2019 10:00,56
3266,4/3/2019 10:30,56
3267,4/3/2019 11:00,57
3268,4/3/2019 11:30,57
3269,4/3/2019 12:00,57
3270,4/3/2019 12:30,57
3271,4/3/2019 13:00,57
3272,4/3/2019 13:30,57
3273,4/3/2019 14:00,57
3274,4/3/2019 14:30,58
3275,4/3/2019 15:00,58
3276,4/3/2019 15:30,58
3277,4/3/2019 16:00,58
3278,4/3/2019 16:30,58
3279,4/3/2019 17:00,58
3280,4/3/2019 17:30,58
3281,4/3/2019 18:00,57
3282,4/3/2019 18:30,57
3283,4/3/2019 19:00,57
3284,4/3/2019 19:30,57
3285,4/3/2019 20:00,57
3286,4/3/2019 20:30,57
3287,4/3/2019 21:00,57
3288,4/3/2019 21:30,57
3289,4/3/2019 22:00,56
3290,4/3/2019 22:30,57
3291,4/3/2019 23:00,57
3292,4/3/2019 23:30,56
3293,5/3/2019 0:00,56
3294,5/3/2019 0:30,56
3295,5/3/2019 1:00,56
3296,5/3/2019 1:30,56
3297,5/3/2019 2:00,56
3298,5/3/2019 2:30,56
3299,5/3/2019 3:00,56
3300,5/3/2019 3:30,56
3301,5/3/2019 4:00,56
3302,5/3/2019 4:30,55
3303,5/3/2019 5:00,55
3304,5/3/2019 5:30,55
3305,5/3/2019 6:00,55
3306,5/3/2019 6:30,55
3307,5/3/2019 7:00,55
3308,5/3/2019 7:30,55
3309,5/3/2019 8:00,55
3310,5/3/2019 8:30,55
3311,5/3/2019 9:00,55
3312,5/3/2019 9:30,56
3313,5/3/2019 10:00,56
3314,5/3/2019 10:30,56
3315,5/3/2019 11:00,56
3316,5/3/2019 11:30,56
3317,5/3/2019 12:00,56
3318,5/3/2019 12:30,57
3319,5/3/2019 13:00,57
3320,5/3/2019 13:30,57
3321,5/3/2019 14:00,57
3322,5/3/2019 14:30,57
3323,5/3/2019 15:00,57
3324,5/3/2019 15:30,58
3325,5/3/2019 16:00,58
3326,5/3/2019 16:30,58
3327,5/3/2019 17:00,58
3328,5/3/2019 17:30,58
3329,5/3/2019 18:00,58
3330,5/3/2019 18:30,58
3331,5/3/2019 19:00,57
3332,5/3/2019 19:30,57
3333,5/3/2019 20:00,57
3334,5/3/2019 20:30,56
3335,5/3/2019 21:00,57
3336,5/3/2019 21:30,57
3337,5/3/2019 22:00,57
3338,5/3/2019 22:30,56
3339,5/3/2019 23:00,56
3340,5/3/2019 23:30,56
3341,6/3/2019 0:00,56
3342,6/3/2019 0:30,56
3343,6/3/2019 1:00,56
3344,6/3/2019 1:30,56
3345,6/3/2019 2:00,56
3346,6/3/2019 2:30,56
3347,6/3/2019 3:00,56
3348,6/3/2019 3:30,56
3349,6/3/2019 4:00,56
3350,6/3/2019 4:30,56
3351,6/3/2019 5:00,56
3352,6/3/2019 5:30,56
3353,6/3/2019 6:00,56
3354,6/3/2019 6:30,56
3355,6/3/2019 7:00,56
3356,6/3/2019 7:30,56
3357,6/3/2019 8:00,56
3358,6/3/2019 8:30,56
3359,6/3/2019 9:00,56
3360,6/3/2019 9:30,56
3361,6/3/2019 10:00,56
3362,6/3/2019 10:30,56
3363,6/3/2019 11:00,56
3364,6/3/2019 11:30,56
3365,6/3/2019 12:00,57
3366,6/3/2019 12:30,57
3367,6/3/2019 13:00,57
