Plot,Title: Brazil: Sao Sebastiao,Sebastiao
#,"Date Time, GMT-05:00",End Of File (LGR S/N: 20462612)
2448,3/15/2019 11:11,28
2449,3/15/2019 12:11,28
2450,3/15/2019 13:11,28
2451,3/15/2019 14:11,28
2452,3/15/2019 15:11,27
2453,3/15/2019 16:11,27
2454,3/15/2019 17:11,27
2455,3/15/2019 18:11,27
2456,3/15/2019 19:11,27
2457,3/15/2019 20:11,27
2458,3/15/2019 21:11,26
2459,3/15/2019 22:11,26
2460,3/15/2019 23:11,26
2461,3/16/2019 0:11,26
2462,3/16/2019 1:11,26
2463,3/16/2019 2:11,26
2464,3/16/2019 3:11,26
2465,3/16/2019 4:11,26
2466,3/16/2019 5:11,26
2467,3/16/2019 6:11,26
2468,3/16/2019 7:11,26
2469,3/16/2019 8:11,27
2470,3/16/2019 9:11,27
2471,3/16/2019 10:11,27
2472,3/16/2019 11:11,28
2473,3/16/2019 12:11,28
2474,3/16/2019 13:11,28
2475,3/16/2019 14:11,28
2476,3/16/2019 15:11,27
2477,3/16/2019 16:11,27
2478,3/16/2019 17:11,27
2479,3/16/2019 18:11,27
2480,3/16/2019 19:11,27
2481,3/16/2019 20:11,27
2482,3/16/2019 21:11,27
2483,3/16/2019 22:11,27
2484,3/16/2019 23:11,27
2485,3/17/2019 0:11,27
2486,3/17/2019 1:11,27
2487,3/17/2019 2:11,27
2488,3/17/2019 3:11,27
2489,3/17/2019 4:11,27
2490,3/17/2019 5:11,27
2491,3/17/2019 6:11,27
2492,3/17/2019 7:11,27
2493,3/17/2019 8:11,27
2494,3/17/2019 9:11,28
2495,3/17/2019 10:11,28
2496,3/17/2019 11:11,28
2497,3/17/2019 12:11,28
2498,3/17/2019 13:11,28
2499,3/17/2019 14:11,28
2500,3/17/2019 15:11,28
2501,3/17/2019 16:11,28
2502,3/17/2019 17:11,28
2503,3/17/2019 18:11,28
2504,3/17/2019 19:11,28
2505,3/17/2019 20:11,28
2506,3/17/2019 21:11,28
2507,3/17/2019 22:11,28
2508,3/17/2019 23:11,28
2509,3/18/2019 0:11,27
2510,3/18/2019 1:11,27
2511,3/18/2019 2:11,27
2512,3/18/2019 3:11,27
2513,3/18/2019 4:11,27
2514,3/18/2019 5:11,27
2515,3/18/2019 6:11,27
2516,3/18/2019 7:11,28
2517,3/18/2019 8:11,28
2518,3/18/2019 9:11,28
2519,3/18/2019 10:11,29
2520,3/18/2019 11:11,29
2521,3/18/2019 12:11,29
2522,3/18/2019 13:11,29
2523,3/18/2019 14:11,28
2524,3/18/2019 15:11,28
2525,3/18/2019 16:11,28
2526,3/18/2019 17:11,28
2527,3/18/2019 18:11,28
2528,3/18/2019 19:11,28
2529,3/18/2019 20:11,28
2530,3/18/2019 21:11,27
2531,3/18/2019 22:11,27
2532,3/18/2019 23:11,27
2533,3/19/2019 0:11,27
2534,3/19/2019 1:11,27
2535,3/19/2019 2:11,27
2536,3/19/2019 3:11,27
2537,3/19/2019 4:11,27
2538,3/19/2019 5:11,27
2539,3/19/2019 6:11,27
2540,3/19/2019 7:11,27
2541,3/19/2019 8:11,27
2542,3/19/2019 9:11,27
2543,3/19/2019 10:11,28
2544,3/19/2019 11:11,28
2545,3/19/2019 12:11,28
2546,3/19/2019 13:11,28
2547,3/19/2019 14:11,27
2548,3/19/2019 15:11,27
2549,3/19/2019 16:11,27
2550,3/19/2019 17:11,27
2551,3/19/2019 18:11,27
2552,3/19/2019 19:11,27
2553,3/19/2019 20:11,27
2554,3/19/2019 21:11,26
2555,3/19/2019 22:11,26
2556,3/19/2019 23:11,26
2557,3/20/2019 0:11,26
2558,3/20/2019 1:11,26
2559,3/20/2019 2:11,26
2560,3/20/2019 3:11,26
2561,3/20/2019 4:11,26
2562,3/20/2019 5:11,26
2563,3/20/2019 6:11,26
2564,3/20/2019 7:11,26
2565,3/20/2019 8:11,25
2566,3/20/2019 9:11,25
2567,3/20/2019 10:11,25
2568,3/20/2019 11:11,25
2569,3/20/2019 12:11,25
2570,3/20/2019 13:11,25
2571,3/20/2019 14:11,25
2572,3/20/2019 15:11,25
2573,3/20/2019 16:11,25
2574,3/20/2019 17:11,24
2575,3/20/2019 18:11,24
2576,3/20/2019 19:11,24
2577,3/20/2019 20:11,24
2578,3/20/2019 21:11,24
2579,3/20/2019 22:11,24
2580,3/20/2019 23:11,24
2581,3/21/2019 0:11,24
2582,3/21/2019 1:11,24
2583,3/21/2019 2:11,24
2584,3/21/2019 3:11,24
2585,3/21/2019 4:11,24
2586,3/21/2019 5:11,24
2587,3/21/2019 6:11,24
2588,3/21/2019 7:11,24
2589,3/21/2019 8:11,24
2590,3/21/2019 9:11,24
2591,3/21/2019 10:11,24
2592,3/21/2019 11:11,24
2593,3/21/2019 12:11,24
2594,3/21/2019 13:11,24
2595,3/21/2019 14:11,24
2596,3/21/2019 15:11,24
2597,3/21/2019 16:11,24
2598,3/21/2019 17:11,24
2599,3/21/2019 18:11,24
2600,3/21/2019 19:11,24
2601,3/21/2019 20:11,24
2602,3/21/2019 21:11,24
2603,3/21/2019 22:11,24
2604,3/21/2019 23:11,24
2605,3/22/2019 0:11,24
2606,3/22/2019 1:11,24
2607,3/22/2019 2:11,24
2608,3/22/2019 3:11,24
2609,3/22/2019 4:11,24
2610,3/22/2019 5:11,24
2611,3/22/2019 6:11,24
2612,3/22/2019 7:11,24
2613,3/22/2019 8:11,25
2614,3/22/2019 9:11,25
2615,3/22/2019 10:11,25
2616,3/22/2019 11:11,26
2617,3/22/2019 12:11,26
2618,3/22/2019 13:11,26
2619,3/22/2019 14:11,26
2620,3/22/2019 15:11,26
2621,3/22/2019 16:11,26
2622,3/22/2019 17:11,25
2623,3/22/2019 18:11,25
2624,3/22/2019 19:11,25
2625,3/22/2019 20:11,25
2626,3/22/2019 21:11,25
2627,3/22/2019 22:11,25
2628,3/22/2019 23:11,25
2629,3/23/2019 0:11,25
2630,3/23/2019 1:11,25
2631,3/23/2019 2:11,25
2632,3/23/2019 3:11,25
2633,3/23/2019 4:11,25
2634,3/23/2019 5:11,25
2635,3/23/2019 6:11,25
2636,3/23/2019 7:11,25
2637,3/23/2019 8:11,26
2638,3/23/2019 9:11,26
2639,3/23/2019 10:11,26
2640,3/23/2019 11:11,26
2641,3/23/2019 12:11,26
2642,3/23/2019 13:11,26
2643,3/23/2019 14:11,26
2644,3/23/2019 15:11,26
2645,3/23/2019 16:11,26
2646,3/23/2019 17:11,26
2647,3/23/2019 18:11,26
2648,3/23/2019 19:11,26
2649,3/23/2019 20:11,26
2650,3/23/2019 21:11,26
2651,3/23/2019 22:11,26
2652,3/23/2019 23:11,26
2653,3/24/2019 0:11,26
2654,3/24/2019 1:11,26
2655,3/24/2019 2:11,26
2656,3/24/2019 3:11,26
2657,3/24/2019 4:11,25
2658,3/24/2019 5:11,25
2659,3/24/2019 6:11,26
2665,3/24/2019 7:11,29
2666,3/24/2019 8:11,28
2667,3/24/2019 9:11,28
2668,3/24/2019 10:11,27
2669,3/24/2019 11:11,27
2670,3/24/2019 12:11,27
2671,3/24/2019 13:11,27
2672,3/24/2019 14:11,26
2673,3/24/2019 15:11,26
2674,3/24/2019 16:11,26
2675,3/24/2019 17:11,26
2676,3/24/2019 18:11,25
2677,3/24/2019 19:11,25
2678,3/24/2019 20:11,25
2679,3/24/2019 21:11,25
2680,3/24/2019 22:11,25
2681,3/24/2019 23:11,25
2682,3/25/2019 0:11,25
2683,3/25/2019 1:11,26
2684,3/25/2019 2:11,28
2685,3/25/2019 3:11,30
2686,3/25/2019 4:11,30
2687,3/25/2019 5:11,30
2688,3/25/2019 6:11,30
2689,3/25/2019 7:11,29
2690,3/25/2019 8:11,28
2691,3/25/2019 9:11,28
2692,3/25/2019 10:11,27
2693,3/25/2019 11:11,26
2694,3/25/2019 12:11,26
2695,3/25/2019 13:11,26
2696,3/25/2019 14:11,26
2697,3/25/2019 15:11,26
2698,3/25/2019 16:11,26
2699,3/25/2019 17:11,26
2700,3/25/2019 18:11,25
2701,3/25/2019 19:11,26
2702,3/25/2019 20:11,25
2703,3/25/2019 21:11,25
2704,3/25/2019 22:11,25
2705,3/25/2019 23:11,25
2706,3/26/2019 0:11,26
2707,3/26/2019 1:11,26
2708,3/26/2019 2:11,28
2709,3/26/2019 3:11,29
2710,3/26/2019 4:11,30
2711,3/26/2019 5:11,30
2712,3/26/2019 6:11,30
2713,3/26/2019 7:11,28
2714,3/26/2019 8:11,28
2715,3/26/2019 9:11,27
2716,3/26/2019 10:11,27
2717,3/26/2019 11:11,27
2718,3/26/2019 12:11,27
2719,3/26/2019 13:11,26
2720,3/26/2019 14:11,26
2721,3/26/2019 15:11,26
2722,3/26/2019 16:11,25
2723,3/26/2019 17:11,25
2724,3/26/2019 18:11,25
2725,3/26/2019 19:11,25
2726,3/26/2019 20:11,25
2727,3/26/2019 21:11,25
2728,3/26/2019 22:11,25
2729,3/26/2019 23:11,25
2730,3/27/2019 0:11,25
2731,3/27/2019 1:11,25
2732,3/27/2019 2:11,25
2733,3/27/2019 3:11,25
2734,3/27/2019 4:11,25
2735,3/27/2019 5:11,25
2736,3/27/2019 6:11,25
2737,3/27/2019 7:11,25
2738,3/27/2019 8:11,24
2739,3/27/2019 9:11,24
2740,3/27/2019 10:11,24
2741,3/27/2019 11:11,24
2742,3/27/2019 12:11,24
2743,3/27/2019 13:11,24
2744,3/27/2019 14:11,24
2745,3/27/2019 15:11,24
2746,3/27/2019 16:11,24
2747,3/27/2019 17:11,24
2748,3/27/2019 18:11,24
2749,3/27/2019 19:11,24
2750,3/27/2019 20:11,24
2751,3/27/2019 21:11,24
2752,3/27/2019 22:11,24
2753,3/27/2019 23:11,24
2754,3/28/2019 0:11,24
2755,3/28/2019 1:11,24
2756,3/28/2019 2:11,24
2757,3/28/2019 3:11,24
2758,3/28/2019 4:11,25
2759,3/28/2019 5:11,25
2760,3/28/2019 6:11,24
2761,3/28/2019 7:11,24
2762,3/28/2019 8:11,24
2763,3/28/2019 9:11,24
2764,3/28/2019 10:11,24
2765,3/28/2019 11:11,24
2766,3/28/2019 12:11,24
2767,3/28/2019 13:11,24
2768,3/28/2019 14:11,24
2769,3/28/2019 15:11,24
