Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
1129,2/22/2019 22:00,61.398,,,,
1130,2/22/2019 22:30,61.398,,,,
1131,2/22/2019 23:00,61.398,,,,
1132,2/22/2019 23:30,61.569,,,,
1133,2/23/2019 0:00,61.398,,,,
1134,2/23/2019 0:30,61.227,,,,
1135,2/23/2019 1:00,61.227,,,,
1136,2/23/2019 1:30,61.227,,,,
1137,2/23/2019 2:00,61.227,,,,
1138,2/23/2019 2:30,61.227,,,,
1139,2/23/2019 3:00,61.227,,,,
1140,2/23/2019 3:30,61.054,,,,
1141,2/23/2019 4:00,61.054,,,,
1142,2/23/2019 4:30,61.054,,,,
1143,2/23/2019 5:00,61.054,,,,
1144,2/23/2019 5:30,61.054,,,,
1145,2/23/2019 6:00,60.883,,,,
1146,2/23/2019 6:30,60.883,,,,
1147,2/23/2019 7:00,60.883,,,,
1148,2/23/2019 7:30,60.883,,,,
1149,2/23/2019 8:00,60.883,,,,
1150,2/23/2019 8:30,61.227,,,,
1151,2/23/2019 9:00,61.054,,,,
1152,2/23/2019 9:30,61.227,,,,
1153,2/23/2019 10:00,61.398,,,,
1154,2/23/2019 10:30,61.569,,,,
1155,2/23/2019 11:00,61.569,,,,
1156,2/23/2019 11:30,61.741,,,,
1157,2/23/2019 12:00,61.569,,,,
1158,2/23/2019 12:30,61.569,,,,
1159,2/23/2019 13:00,61.569,,,,
1160,2/23/2019 13:30,61.398,,,,
1161,2/23/2019 14:00,61.741,,,,
1162,2/23/2019 14:30,61.398,,,,
1163,2/23/2019 15:00,61.398,,,,
1164,2/23/2019 15:30,61.741,,,,
1165,2/23/2019 16:00,61.569,,,,
1166,2/23/2019 16:30,61.741,,,,
1167,2/23/2019 17:00,61.569,,,,
1168,2/23/2019 17:30,61.569,,,,
1169,2/23/2019 18:00,61.569,,,,
1170,2/23/2019 18:30,61.569,,,,
1171,2/23/2019 19:00,61.569,,,,
