Plot Title: Costa Rica,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350663, SEN S/N: 20350663)",End Of File (LGR S/N: 20350663)
1424,7/10/2018 1:30,29.352,
1425,7/10/2018 2:00,29.352,
1426,7/10/2018 2:30,29.352,
1427,7/10/2018 3:00,29.352,
1428,7/10/2018 3:30,29.252,
1429,7/10/2018 4:00,29.252,
1430,7/10/2018 4:30,29.252,
1431,7/10/2018 5:00,29.252,
1432,7/10/2018 5:30,29.252,
1433,7/10/2018 6:00,29.252,
1434,7/10/2018 6:30,29.252,
1435,7/10/2018 7:00,29.252,
1436,7/10/2018 7:30,29.252,
1437,7/10/2018 8:00,29.252,
1438,7/10/2018 8:30,29.252,
1439,7/10/2018 9:00,29.352,
1440,7/10/2018 9:30,29.352,
1441,7/10/2018 10:00,29.452,
1442,7/10/2018 10:30,29.452,
1443,7/10/2018 11:00,29.552,
1444,7/10/2018 11:30,29.652,
1445,7/10/2018 12:00,29.652,
1446,7/10/2018 12:30,29.652,
1447,7/10/2018 13:00,29.752,
1448,7/10/2018 13:30,29.752,
1449,7/10/2018 14:00,29.752,
1450,7/10/2018 14:30,29.853,
1451,7/10/2018 15:00,29.853,
1452,7/10/2018 15:30,29.953,
1453,7/10/2018 16:00,29.953,
1454,7/10/2018 16:30,29.853,
1455,7/10/2018 17:00,29.752,
1456,7/10/2018 17:30,29.853,
1457,7/10/2018 18:00,29.752,
1458,7/10/2018 18:30,29.752,
1459,7/10/2018 19:00,29.853,
1460,7/10/2018 19:30,29.853,
1461,7/10/2018 20:00,29.752,
1462,7/10/2018 20:30,29.752,
1463,7/10/2018 21:00,29.652,
1464,7/10/2018 21:30,29.552,
1465,7/10/2018 22:00,29.552,
1466,7/10/2018 22:30,29.552,
1467,7/10/2018 23:00,29.552,
1468,7/10/2018 23:30,29.552,
1469,7/11/2018 0:00,29.552,
1470,7/11/2018 0:30,29.552,
1471,7/11/2018 1:00,29.552,
1472,7/11/2018 1:30,29.552,
1473,7/11/2018 2:00,29.452,
1474,7/11/2018 2:30,29.452,
1475,7/11/2018 3:00,29.452,
1476,7/11/2018 3:30,29.452,
1477,7/11/2018 4:00,29.452,
1478,7/11/2018 4:30,29.452,
1479,7/11/2018 5:00,29.452,
1480,7/11/2018 5:30,29.452,
1481,7/11/2018 6:00,29.352,
1482,7/11/2018 6:30,29.352,
1483,7/11/2018 7:00,29.352,
1484,7/11/2018 7:30,29.352,
1485,7/11/2018 8:00,29.352,
1486,7/11/2018 8:30,29.352,
1487,7/11/2018 9:00,29.352,
1488,7/11/2018 9:30,29.452,
1489,7/11/2018 10:00,29.452,
1490,7/11/2018 10:30,29.452,
1491,7/11/2018 11:00,29.452,
1492,7/11/2018 11:30,29.552,
1493,7/11/2018 12:00,29.652,
1494,7/11/2018 12:30,29.652,
1495,7/11/2018 13:00,29.953,
1496,7/11/2018 13:30,29.953,
1497,7/11/2018 14:00,30.255,
1498,7/11/2018 14:30,30.154,
1499,7/11/2018 15:00,30.255,
1500,7/11/2018 15:30,29.953,
1501,7/11/2018 16:00,30.054,
1502,7/11/2018 16:30,30.054,
1503,7/11/2018 17:00,30.154,
1504,7/11/2018 17:30,30.154,
1505,7/11/2018 18:00,29.853,
1506,7/11/2018 18:30,29.752,
1507,7/11/2018 19:00,29.752,
1508,7/11/2018 19:30,29.752,
1509,7/11/2018 20:00,29.652,
1510,7/11/2018 20:30,29.652,
1511,7/11/2018 21:00,29.452,
1512,7/11/2018 21:30,29.452,
1513,7/11/2018 22:00,29.452,
1514,7/11/2018 22:30,29.352,
1515,7/11/2018 23:00,29.352,
1516,7/11/2018 23:30,29.252,
1517,7/12/2018 0:00,29.252,
1518,7/12/2018 0:30,29.252,
1519,7/12/2018 1:00,29.152,
1520,7/12/2018 1:30,29.152,
1521,7/12/2018 2:00,29.152,
1522,7/12/2018 2:30,29.152,
1523,7/12/2018 3:00,29.152,
1524,7/12/2018 3:30,29.152,
1525,7/12/2018 4:00,29.152,
1526,7/12/2018 4:30,29.152,
1527,7/12/2018 5:00,29.152,
1528,7/12/2018 5:30,29.152,
1529,7/12/2018 6:00,29.152,
1530,7/12/2018 6:30,29.152,
1531,7/12/2018 7:00,29.152,
1532,7/12/2018 7:30,29.152,
1533,7/12/2018 8:00,29.152,
1534,7/12/2018 8:30,29.053,
1535,7/12/2018 9:00,29.053,
1536,7/12/2018 9:30,29.252,
1537,7/12/2018 10:00,29.252,
1538,7/12/2018 10:30,29.352,
1539,7/12/2018 11:00,29.352,
1540,7/12/2018 11:30,29.452,
1541,7/12/2018 12:00,29.552,
1542,7/12/2018 12:30,29.552,
1543,7/12/2018 13:00,30.054,
1544,7/12/2018 13:30,30.054,
1545,7/12/2018 14:00,29.953,
1546,7/12/2018 14:30,30.154,
1547,7/12/2018 15:00,30.054,
1548,7/12/2018 15:30,30.255,
1549,7/12/2018 16:00,30.356,
1550,7/12/2018 16:30,30.154,
1551,7/12/2018 17:00,30.154,
1552,7/12/2018 17:30,29.953,
1553,7/12/2018 18:00,30.054,
1554,7/12/2018 18:30,30.054,
1555,7/12/2018 19:00,29.953,
1556,7/12/2018 19:30,29.953,
1557,7/12/2018 20:00,29.853,
1558,7/12/2018 20:30,29.853,
1559,7/12/2018 21:00,29.853,
1560,7/12/2018 21:30,29.953,
1561,7/12/2018 22:00,29.752,
1562,7/12/2018 22:30,29.953,
1563,7/12/2018 23:00,30.054,
1564,7/12/2018 23:30,29.853,
1565,7/13/2018 0:00,29.953,
1566,7/13/2018 0:30,29.953,
1567,7/13/2018 1:00,29.953,
1568,7/13/2018 1:30,29.853,
1569,7/13/2018 2:00,29.752,
1570,7/13/2018 2:30,29.752,
1571,7/13/2018 3:00,29.752,
1572,7/13/2018 3:30,29.652,
1573,7/13/2018 4:00,29.752,
1574,7/13/2018 4:30,29.752,
1575,7/13/2018 5:00,29.752,
1576,7/13/2018 5:30,29.652,
1577,7/13/2018 6:00,29.452,
1578,7/13/2018 6:30,29.152,
1579,7/13/2018 7:00,29.152,
1580,7/13/2018 7:30,29.152,
1581,7/13/2018 8:00,29.152,
1582,7/13/2018 8:30,29.252,
1583,7/13/2018 9:00,29.252,
1584,7/13/2018 9:30,29.352,
1585,7/13/2018 10:00,29.452,
1586,7/13/2018 10:30,29.452,
1587,7/13/2018 11:00,29.652,
1588,7/13/2018 11:30,29.552,
1589,7/13/2018 12:00,29.552,
1590,7/13/2018 12:30,29.552,
1591,7/13/2018 13:00,29.752,
1592,7/13/2018 13:30,29.752,
1593,7/13/2018 14:00,29.552,
1594,7/13/2018 14:30,29.853,
1595,7/13/2018 15:00,29.552,
1596,7/13/2018 15:30,29.752,
1597,7/13/2018 16:00,29.853,
1598,7/13/2018 16:30,29.853,
1599,7/13/2018 17:00,29.953,
1600,7/13/2018 17:30,29.853,
1601,7/13/2018 18:00,29.752,
1602,7/13/2018 18:30,29.752,
1603,7/13/2018 19:00,29.752,
1604,7/13/2018 19:30,29.652,
1605,7/13/2018 20:00,29.652,
1606,7/13/2018 20:30,29.652,
1607,7/13/2018 21:00,29.752,
1608,7/13/2018 21:30,29.752,
1609,7/13/2018 22:00,29.652,
1610,7/13/2018 22:30,29.652,
1611,7/13/2018 23:00,29.552,
1612,7/13/2018 23:30,29.452,
