Plot Title: Newport,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350664, SEN S/N: 20350664)","End Of File (LGR S/N: 20350664, SEN S/N: 20350664)"
2107,7/30/2018 11:00,11.819,
2108,7/30/2018 11:30,11.916,
2109,7/30/2018 12:00,12.401,
2110,7/30/2018 12:30,12.787,
2111,7/30/2018 13:00,12.883,
2112,7/30/2018 13:30,13.076,
2113,7/30/2018 14:00,13.076,
2114,7/30/2018 14:30,13.269,
2115,7/30/2018 15:00,12.787,
2116,7/30/2018 15:30,12.98,
2117,7/30/2018 16:00,12.883,
2118,7/30/2018 16:30,13.269,
2119,7/30/2018 17:00,13.846,
2120,7/30/2018 17:30,13.654,
2121,7/30/2018 18:00,13.654,
2122,7/30/2018 18:30,13.654,
2123,7/30/2018 19:00,13.461,
2124,7/30/2018 19:30,14.325,
2125,7/30/2018 20:00,13.365,
2126,7/30/2018 20:30,13.076,
2127,7/30/2018 21:00,13.75,
2128,7/30/2018 21:30,13.461,
2129,7/30/2018 22:00,12.883,
2130,7/30/2018 22:30,12.98,
2131,7/30/2018 23:00,13.076,
2132,7/30/2018 23:30,13.461,
2133,7/31/2018 0:00,13.75,
2134,7/31/2018 0:30,13.173,
2135,7/31/2018 1:00,13.173,
2136,7/31/2018 1:30,12.594,
2137,7/31/2018 2:00,12.497,
2138,7/31/2018 2:30,12.594,
2139,7/31/2018 3:00,12.497,
2140,7/31/2018 3:30,12.497,
2141,7/31/2018 4:00,12.497,
2142,7/31/2018 4:30,12.594,
2143,7/31/2018 5:00,12.497,
2144,7/31/2018 5:30,12.69,
2145,7/31/2018 6:00,12.497,
2146,7/31/2018 6:30,12.497,
2147,7/31/2018 7:00,12.497,
2148,7/31/2018 7:30,12.401,
2149,7/31/2018 8:00,12.304,
2150,7/31/2018 8:30,12.207,
2151,7/31/2018 9:00,12.207,
2152,7/31/2018 9:30,12.11,
2153,7/31/2018 10:00,12.11,
2154,7/31/2018 10:30,12.207,
2155,7/31/2018 11:00,12.207,
2156,7/31/2018 11:30,12.207,
2157,7/31/2018 12:00,12.304,
2158,7/31/2018 12:30,12.497,
2159,7/31/2018 13:00,12.883,
2160,7/31/2018 13:30,13.173,
2161,7/31/2018 14:00,13.365,
