Plot Title: Santa Marta,,,,,,
#,"Date Time, GMT-05:00","Temp, øF (LGR S/N: 20350662, SEN S/N: 20350662)",Coupler Attached (LGR S/N: 20350662),Host Connected (LGR S/N: 20350662),Stopped (LGR S/N: 20350662),End Of File (LGR S/N: 20350662)
601,8/15/2018 6:30,80.382,,,,
602,8/15/2018 7:00,80.382,,,,
603,8/15/2018 7:30,80.206,,,,
604,8/15/2018 8:00,80.382,,,,
605,8/15/2018 8:30,80.029,,,,
606,8/15/2018 9:00,79.853,,,,
607,8/15/2018 9:30,79.853,,,,
608,8/15/2018 10:00,80.206,,,,
609,8/15/2018 10:30,80.206,,,,
610,8/15/2018 11:00,80.206,,,,
611,8/15/2018 11:30,80.029,,,,
612,8/15/2018 12:00,80.029,,,,
613,8/15/2018 12:30,80.029,,,,
614,8/15/2018 13:00,80.206,,,,
615,8/15/2018 13:30,80.206,,,,
616,8/15/2018 14:00,80.029,,,,
617,8/15/2018 14:30,80.029,,,,
618,8/15/2018 15:00,79.853,,,,
619,8/15/2018 15:30,80.206,,,,
620,8/15/2018 16:00,80.382,,,,
621,8/15/2018 16:30,80.382,,,,
622,8/15/2018 17:00,80.206,,,,
623,8/15/2018 17:30,80.029,,,,
624,8/15/2018 18:00,80.029,,,,
625,8/15/2018 18:30,80.029,,,,
626,8/15/2018 19:00,79.853,,,,
627,8/15/2018 19:30,79.853,,,,
628,8/15/2018 20:00,79.853,,,,
629,8/15/2018 20:30,79.853,,,,
630,8/15/2018 21:00,79.853,,,,
631,8/15/2018 21:30,79.853,,,,
632,8/15/2018 22:00,79.678,,,,
633,8/15/2018 22:30,79.678,,,,
